date,min,max,pm25,q1,q3,stdev,count
2020-05-15T00:00:00.000Z,0.52,2.02,1.01,0.85,1.19,0.25,532
2020-05-16T00:00:00.000Z,0.5,4.63,0.94,0.78,1.05,0.395,336
2020-05-17T00:00:00.000Z,0.24,2.38,0.6,0.43,1.27,0.571,544
2020-05-18T00:00:00.000Z,0.2,2.44,0.65,0.38,0.97,0.531,470
2020-05-19T00:00:00.000Z,0.4,2.62,1.04,0.81,1.28,0.354,546
2020-05-20T00:00:00.000Z,0.52,60.46,0.98,0.79,1.2,3.712,559
2020-05-21T00:00:00.000Z,0.57,65.08,1.06,0.85,1.46,3.648,510
2020-05-22T00:00:00.000Z,0.85,144.32,1.79,1.29,2.27,8.662,556
2020-05-23T00:00:00.000Z,0.82,8.19,2.04,1.42,3.8,1.791,515
2020-05-24T00:00:00.000Z,1.1,144.02,3.72,2.8,4.7,7.219,544
2020-05-25T00:00:00.000Z,1.1,12.43,2.35,1.9,3.63,2.239,544
2020-05-26T00:00:00.000Z,0.3,5.7,1.8,1.27,2.7,0.956,506
2020-05-27T00:00:00.000Z,0.93,4.84,2.04,1.75,2.58,0.602,482
2020-05-28T00:00:00.000Z,0.3,3.62,0.79,0.6,1.33,0.589,456
2020-05-29T00:00:00.000Z,0.4,3.8,1,0.75,1.48,0.488,555
2020-05-30T00:00:00.000Z,0.2,503.17,0.62,0.5,1,29.714,572
2020-05-31T00:00:00.000Z,0.2,134.72,0.56,0.4,0.7,10.601,509
2020-06-01T00:00:00.000Z,0.4,2.72,0.95,0.8,1.3,0.395,494
2020-06-02T00:00:00.000Z,0.6,3.75,1.33,1.1,1.58,0.43,531
2020-06-03T00:00:00.000Z,0.65,6.22,1.83,1.26,2.61,1.147,460
2020-06-04T00:00:00.000Z,1.2,7.22,3.33,2.45,4.4,1.333,538
2020-06-05T00:00:00.000Z,1.2,7.87,4.15,3.05,5.3,1.427,447
2020-06-06T00:00:00.000Z,0.3,102.5,1.14,0.8,2.42,5.284,491
2020-06-07T00:00:00.000Z,0.77,3.85,1.4,1.17,1.8,0.486,543
2020-06-08T00:00:00.000Z,0.7,4.22,1.5,1.17,2,0.54,539
2020-06-09T00:00:00.000Z,0.9,631.08,2,1.4,2.42,47.784,495
2020-06-10T00:00:00.000Z,0.2,3.1,0.75,0.6,1,0.489,531
2020-06-11T00:00:00.000Z,0.3,4.75,0.75,0.6,0.9,0.298,569
2020-06-12T00:00:00.000Z,0.8,499.52,1.94,1.6,2.5,22.042,576
2020-06-13T00:00:00.000Z,0.5,3.87,1.47,1.1,2,0.673,554
2020-06-14T00:00:00.000Z,0.7,514.72,1.65,1.2,2.11,40.345,337
2020-06-15T00:00:00.000Z,0.77,5.7,1.6,1.33,2.33,0.902,570
2020-06-16T00:00:00.000Z,1.3,6.9,2.83,2.25,3.6,1.127,565
2020-06-17T00:00:00.000Z,2.42,7.82,4.34,3.62,4.9,0.908,546
2020-06-18T00:00:00.000Z,1.37,142.47,3.75,2.7,4.82,7.204,498
2020-06-19T00:00:00.000Z,1.2,332.1,4.12,2.37,5.36,18.979,488
2020-06-20T00:00:00.000Z,1.12,10.48,5,2.5,6.34,2.394,585
2020-06-21T00:00:00.000Z,1,243.85,2,1.7,2.33,12.823,583
2020-06-22T00:00:00.000Z,1.05,3.12,1.92,1.62,2.2,0.387,552
2020-06-23T00:00:00.000Z,1.45,8.3,2.42,2.08,3,0.697,573
2020-06-24T00:00:00.000Z,2,163.37,3.08,2.78,3.75,7.257,591
2020-06-25T00:00:00.000Z,1.25,6.45,3.54,2.42,4.72,1.343,568
2020-06-26T00:00:00.000Z,1.65,5.9,3.25,2.85,3.75,0.788,558
2020-06-27T00:00:00.000Z,2.33,394.85,4.12,3.33,5.22,17.773,521
2020-06-28T00:00:00.000Z,3.5,555.95,5.82,4.82,6.8,33.378,453
2020-06-29T00:00:00.000Z,0.77,11.57,2.33,1.5,4.28,2.491,487
2020-06-30T00:00:00.000Z,0.3,3.47,1.7,1.33,2.12,0.635,473
2020-07-01T00:00:00.000Z,0.5,36.22,1.2,0.9,1.45,1.708,458
2020-07-02T00:00:00.000Z,0.56,3.75,1.2,0.98,1.48,0.393,453
2020-07-03T00:00:00.000Z,0.2,55.9,0.82,0.6,1.23,3.344,474
2020-07-04T00:00:00.000Z,0.2,4.8,1.05,0.75,1.3,0.499,500
2020-07-05T00:00:00.000Z,0.6,6.18,1.87,1.48,2.42,0.997,476
2020-07-06T00:00:00.000Z,0.5,403.88,1.3,0.95,1.6,26.959,283
